color;streak;lustre;transparency;cleavage;mohs_hardness;density;fracture;group
"3;12";"2;3";1;3;2;2-3;7.2-7.6;6;5
"4;6;7;12";3;1;3;4;3.5;4.40;6;5
"1;2;3;12";"2;3";1;3;2;5.5;6.2;"2;6";5
"1;2";"2;3";1;3;2;5-5.5;6.793;6;5
"1;7";"3;7;8";1;3;6;2.5-3;9.31;"2;6";5
"1;7";"3;7;8";1;3;2;2-3;8.86;6;5
"1;3;7";"1;3";1;3;2;1.5-2;8.161;"2;3";5
7;2;1;3;4;3.5;4.024;2;5
"3;11";2;1;3;2;4.5-5.5;4.79;3;5
"3;5;11";"2;3";1;3;4;4.5-5.5;4.83;"2;6";5
3;"2;3";1;3;4;4.5-5.5;4.85;"2;6";5
"3;5";"2;3";"1;3";3;2;4.5-5.5;4.83;"2;6";5
"3;4;5";2;1;3;2;1-1.5;7.73;2;5
"5;6";6;1;2;2;1.5-2;3.4-3.6;6;5
"3;7;8";2;1;3;2;3-4;4.3-4.5;2;5
3;3;1;3;2;2-2.5;6.81;"2;4";5
"2;3;10";3;1;3;2;2;4.61-4.65;"2;6";5
"2;3";2;1;3;6;2.5;8.092;"2;6";5
"2;4;5;6;7;8;13";"1;3;7";"3;6";"1;2;3";2;3.5-4;3.9-4.2;"2;3";5
"1;3";3;1;3;1;1.5-2;7.271;"1;2";5
"2;3;10";3;1;3;4;2.5-3;5.5-5.8;"2;6";5
7;"2;8";1;3;4;3.5-4;4.1-4.3;2;5
2;"2;3";1;3;3;3-3.5;6.14;6;5
"1;3";2;1;3;3;5.5-6;6.821;2;5
"2;3;4;7";"2;3;4";1;3;6;3.5-4;4.58-4.84;2;5
"11;12";"1;11";1;3;2;0-1;2.92-2.96;"2;6";5
"13;1;3;2;9;7;8;4;12;11";1;"8;5;2";"1;2;3";5;7.0;2.6-2.65;6;4
"1;3;7";1;2;"2;3";5;6-7.0;2.27;6;4
"13;7;4";1;3;"1;2";2;6.5-7.0;1.99-2.11;2;4
"13;1;5;4;7;8;3;2;9;10";1;"7;6;8;4;2";"1;2;3";6;5.5-6.5;1.96-2.2;6;4
"1;3;2;8;7;9;5";1;"4;7;8";"2;3";6;7.0;2.58-2.64;"2;4";4
"1;13";1;2;1;5;7.5-8.0;2.95-3;6;4
"1;3;4;12";1;"2;8";2;5;6-6.5;2.59;2;4
1;1;"6;7";1;2;1.0;2.11-2.14;6;4
13;1;2;1;5;7.5-8.0;4.29-4.35;"2;6";4
"1;7;13;3";1;2;"1;2";4;6.5-7.0;2.25-2.28;6;4
"13;12;11;3;2;8;4;10";"1;3";1;"1;2";5;7.5-8.0;3.6-4.1;"1;2;6";4
2;2;"1;6;8";3;5;5.5-6.5;5.17-5.2;"2;6";4
2;4;1;3;5;5.5;4.5-4.8;2;4
"8;7;4;2";3;2;3;5;7.5-8.0;4-4.6;"2;6";4
"2;4";"5;4;2";"1;6";3;6;5.5-6.0;5.07-5.22;"2;6";4
2;"2;4;5";1;3;6;5-6.0;4.68-4.76;6;4
2;"4;2";"1;3";3;3;6.0;5.28;"2;6";4
"2;4";4;"1;2";3;3;6.0;5.2-6.65;"2;6;3";4
"5;3;2";5;"1;8";3;6;5.5-6.5;5.26;"2;6";4
2;2;1;3;6;8-9.0;4.87;"2;6";4
"13;7;8;3;5;4;10;12";1;"2;3;4;8";"1;2;3";6;9.0;3.98-4.1;"2;6";4
"5;11";1;"2;4";"1;2";6;9.0;3.9-4.1;"2;6";4
"2;3";2;1;3;3;6;4.95;2;4
"2;3";2;1;3;5;4.5-5.0;5.24-5.5;"2;6";4
"3;9";3;1;3;5;6-6.5;4.1-4.4;6;4
"2;3;4;5";"2;4";"1;2";3;5;6.0;4.42;"2;6";4
2;2;3;3;6;5.5;4.4;6;4
2;"2;4";"1;3";3;6;5.5-6.0;4.75-4.89;2;4
"2;5;7;3";"1;4";"1;3";3;6;5-5.5;3.98-4.26;"2;6";4
"2;5;4;7;3;8";"1;4;3";"3;6";"1;2;3";4;6-7.0;6.98-7.01;"2;6";4
"5;4;2;7";"3;2;4";"1;3";"2;3";2;6-6.5;4.2-4.3;"2;6";4
"2;3;9";"2;10";"1;8";3;2;2-6.5;5.04-5.08;2;4
"12;13;5;4;2";"5;2";"2;1";3;3;6.0;6.65-8.0;"2;6";4
"4;2";2;"1;2";3;3;6-6.5;6.65-7.95;"2;6;3";4
"7;3;4;2;10;8";"1;7";"1;3;6";"1;2;3";2;5.5-6.0;3.79-3.97;6;4
"13;7;8;5;4";"1;4";"2;6";1;2;6.5;5.4-6.02;"2;6";4
2;2;1;3;5;6-6.5;4.9-5.0;2;4
"4;2;5;7";"1;3";"1;3";"2;3";4;5.5-6.0;4.08-4.18;"2;6";4
"2;4";"2;5";1;"1;3";2;5.5;4.84;6;4
"2;4;5";4;2;3;6;3-5.0;3.07-4.32;2;4
"13;1";1;3;"1;2";3;5.5;5.071;"2;6";4
13;1;2;1;6;5-6.0;2.94;"2;6";4
"4;2;5";"4;5";"1;3;8";"1;2";4;3.5-4.0;6.14;"2;6";4
"8;7;2";"4;7";"3;6";2;4;4-5.5;4.45-4.9;"2;6";4
"2;3;10";"2;4";"1;8";3;4;4-6.0;4.4-4.7;"2;6";4
"2;3";"2;4";1;3;4;5-6.0;4.7-4.74;"2;6";4
"2;11";2;"1;7;8";3;6;5-6.0;10.6-10.9;6;4
"7;8";1;"2;6";1;4;8.5;3.75;"2;6";4
"6;5;7";"7;6;8";1;2;2;4-5.0;5.64-5.68;6;4
"5;12;11";1;"2;4";1;6;9.0;3.98-4.1;"2;6";4
